Actor,"Actors and actresses are those who perform on stage, television, or in movies, both professionally and as amateurs."
Adult,Adults are characters that are between the ages of 20 to 64.
Afro,"These characters sport an Afro, a large, rounded hairstyle achieved by combing hair outwards from the scalp with a pick."
Agent of the Afterlife,"These characters perform a job for their employers in the Afterlife, whether they're sent from Heaven, Hell, Purgatory, or somewhere else. Angels, Demons, and Shinigami are common examples."
Airhead,"Ever seen a character and wondered just how they could be THAT dumb? Airheads are individuals who are especially idiotic, dim-witted, or just plain clueless. They often have a lack of common sense, live in their own little worlds or have a childlike dependence on others."
Alchemist,"Alchemists pursue the knowledge and materials for creating such items as the legendary Philosopher's stone and elixir of immortality. They are particularly known for being able to transmute one element into another, as well creating the artificial beings known as the Homunculi."
Alien,"Aliens hail from a different planet than where the series takes place. For example, if an anime takes place on Mars, a lone Earthling would be considered an alien, not the Martian."
Amnesia,"Characters with amnesia have partial or full memory loss. These characters suffer from amnesia due to an injury or trauma, an Illness, or a Supernatural occurrence."
Analytical,"These characters frequently analyze people, objects or situations for the sake of concocting a strategy, whether they're trying to solve a crime, determining how to win a military battle, or figuring out the best way to win a game."
Android,"Androids are Robots that are made to look and sometimes act as humans, unlike Cyborgs, which are organic characters with robotic parts or upgrades."
Androphobia,"Androphobia is defined as an irrational fear of men. These characters have extreme reactions to the men in their lives, from panicking to having an intense allergic reaction to anything in between."
Angel,"These characters are winged, haloed angels from heaven."
Animal,"These characters are Birds, Dogs, Cats, Insects, Reptiles, Fish, or other categories."
Animal Ears,These characters have Animal Ears as a natural extension of their body.
Animal Hood,These characters sport a coat or standalone hood that looks like an animal head.
Animal Lover,"Animal Lovers demonstrate a strong love or passion for animals, whether their affections are returned or not."
Announcer,"Announcers narrate a specific event in an anime or manga, such as describing a play-by-play analysis of a fight or sporting event."
Anthropomorphic,"These non-human characters display human characteristics, such has walking on two legs, wearing clothes, or having a human appearance. Common examples in anime and manga include anthropomorphic Animals, Food, or objects. Not to be confused with Animal Characteristics, which describes characters that only have animal-like features, such as a human with a Tail."
Anti-Gravity Hair,These characters sport an unusually vertical hairstyle that defies the laws of gravity and physics!
