Id,Names,Hair_Color,Gender,Tags
0,L,Black Hair,Male,"['Analytical', 'Barefoot', 'Detective', 'Eye Bags', 'Sweet Tooth']"
1,Kakashi HATAKE,Grey Hair,Male,"['Adult', 'Anti-Gravity Hair', 'Beastmaster', 'Exotic Eyes', 'Gloves', 'Headband', 'Masks', 'Ninja', 'Scar']"
2,Edward ELRIC,Blonde Hair,Male,"['Alchemist', 'Arm Blades', 'Artificial Limb', 'Braids', 'Gloves', 'Hair Antenna', 'Hot-Headed', 'Military', 'Ponytail', 'Teenager']"
3,Levi,Black Hair,Male,"['Adult', 'Military', 'Ruthless', 'Stoic', 'Sword Fighter']"
4,Light YAGAMI,Brown Hair,Male,"['Analytical', 'Big Ego', 'Charismatic', 'God Complex', 'Manipulative', 'Ruthless', 'Secret Identity']"
5,Naruto UZUMAKI,Blonde Hair,Male,"['Beastmaster', 'Face Markings', 'Headband', 'Hot-Headed', 'Ninja', 'Orphan', 'Verbal Tic']"
6,Mikasa ACKERMAN,Black Hair,Female,"['Broken Record', 'Kuudere', 'Military', 'Orphan', 'Scarf', 'Stoic', 'Sword Fighter']"
7,Itachi UCHIHA,Black Hair,Male,"['Beastmaster', 'Combat Illusionist', 'Exotic Eyes', 'Headband', 'Ninja', 'Ponytail', 'Stoic']"
8,Ryuk,Black Hair,Male,"['Agent of the Afterlife', 'Anti-Gravity Hair', 'Immortal', 'Piercings', 'Sharp Teeth', 'Shinigami', 'Wings']"
9,Lelouch LAMPEROUGE,Black Hair,Male,"['Analytical', 'Big Ego', 'Cape', 'Charismatic', 'Exotic Eyes', 'God Complex', 'High School Student', 'Manipulative', 'Masks', 'Mecha Pilot', 'Psychic Powers', 'Royalty', 'Ruthless', 'Student Council', 'Superpowers', 'Teenager', 'Terrorist', 'Vengeful']"
10,Gaara,Red Hair,Male,"['Earth Powers', 'Elemental Powers', 'Ninja', 'No Eyebrows', 'Stoic', 'Tattoo']"
11,Natsu DRAGNEEL,Pink Hair,Male,"['Big Eater', 'Elemental Powers', 'Eternal Optimist', 'Fire Powers', 'Hot-Headed', 'Invisibility Powers', 'Magic User', 'Orphan', 'Scarf']"
12,Kirito,Black Hair,Male,"['Person in a Strange World', 'Sword Fighter', 'Teenager', 'Video Gamer', 'Warrior']"
13,Erza SCARLET,Red Hair,Female,"['Armor', 'Blinding Bangs', 'Bossy', 'Magic User', 'Sweet Tooth', 'Sword Fighter', 'Warrior']"
14,Roy MUSTANG,Black Hair,Male,"['Adult', 'Alchemist', 'Elemental Powers', 'Fire Powers', 'Gloves', 'Military']"
15,Sebastian MICHAELIS,Black Hair,Male,"['Animal Lover', 'Butler', 'Demon', 'Human Guise', 'Immortal', 'Manipulative', 'Sadistic', 'Unconventional Weapon']"
16,Monkey D. Luffy,Black Hair,Male,"['Airhead', 'Big Eater', 'Charismatic', 'Eternal Optimist', 'Hat', 'Pirate', 'Sailor', 'Scar', 'Superpowers', 'Teenager', 'Treasure Hunter']"
17,Shikamaru NARA,Black Hair,Male,"['Analytical', 'Darkness Powers', 'Elemental Powers', 'Lazy', 'Ninja', 'Piercings', 'Ponytail']"
18,Asuna YUUKI,Brown Hair,Female,"['Braids', 'Cook', 'Person in a Strange World', 'Sword Fighter', 'Teenager', 'Video Gamer', 'Warrior']"
19,Hinata HYUGA,Black Hair,Female,"['Dandere', 'Exotic Eyes', 'Ninja', 'Shy']"
20,Killua ZOLDYCK,White Hair,Male,"['Analytical', 'Assassin', 'Child', 'Sweet Tooth']"
21,Alphonse ELRIC,Blonde Hair,Male,"['Alchemist', 'Animal Lover', 'Armor', 'Eternal Optimist', 'Teenager']"
22,Jiraiya,White Hair,Male,"['Adult', 'Beastmaster', 'Face Markings', 'Flirt', 'Headband', 'Heavy Drinker', 'Ninja', 'Pervert', 'Prehensile Hair', 'Writer']"
23,Zoro RORONOA,Green Hair,Male,"['Bandana', 'Dual Wielder', 'Muscular', 'No Sense of Direction', 'Piercings', 'Pirate', 'Sailor', 'Scar', 'Sleepyhead', 'Sword Fighter']"
24,Eren JAEGER,Brown Hair,Male,"['Hot-Headed', 'Military', 'Sword Fighter', 'Vengeful']"
25,Death The Kid,Multicolored Hair,Male,"['Agent of the Afterlife', 'Bossy', 'Dual Wielder', 'Gunslinger', 'Shinigami', 'Teenager']"
26,Ichigo KUROSAKI,Orange Hair,Male,"['Agent of the Afterlife', 'High School Student', 'Oversized Weapon', 'Shinigami', 'Sword Fighter', 'Teenager']"
27,Rin OKUMURA,Black Hair,Male,"['Cook', 'Demon', 'Demon Hunter', 'Elemental Powers', 'Exorcist', 'Fire Powers', 'Half-Breed', 'High School Student', 'Hot-Headed', 'Orphan', 'Pointy Ears', 'Sword Fighter', 'Tail', 'Teenager', 'Twin']"
28,Gray FULLBUSTER,Black Hair,Male,"['Elemental Powers', 'Frequently-Naked', 'Hot-Headed', 'Ice Powers', 'Magic User']"
29,Taiga AISAKA,Brown Hair,Female,"['High School Student', 'Hot-Headed', 'Teenager', 'Tsundere']"
30,Sasuke UCHIHA,Black Hair,Male,"['Elemental Powers', 'Exotic Eyes', 'Fire Powers', 'Lightning Powers', 'Ninja', 'Orphan', 'Teleportation Powers', 'Vengeful']"
31,Kanade TACHIBANA,White Hair,Female,"['Arm Blades', 'Kuudere', 'Stoic', 'Student Council']"
32,C.C.,Green Hair,Female,"['Big Eater', 'Immortal', 'Mecha Pilot', 'Terrorist']"
33,Takumi USUI,Blonde Hair,Male,"['Charismatic', 'Cook', 'High School Student', 'Martial Artist', 'Mischievous', 'Musician', 'Part Time Employee', 'Stoic', 'Teenager', 'Violinist', 'Wealthy']"
34,Hikaru HITACHIIN,Orange Hair,Male,"['High School Student', 'Host', 'Mischievous', 'Teenager', 'Twin', 'Wealthy']"
35,Maes HUGHES,Black Hair,Male,"['Adult', 'Facial Hair', 'Glasses', 'Knife Fighter', 'Military']"
36,Shoto TODOROKI,Multicolored Hair,Male,"['Analytical', 'Elemental Powers', 'Fire Powers', 'Heterochromia', 'High School Student', 'Ice Powers', 'Kuudere', 'Scar', 'Stoic', 'Superpowers', 'Teenager']"
37,Kisuke URAHARA,Blonde Hair,Male,"['Agent of the Afterlife', 'Hat', 'Inventor', 'Merchant', 'Scientist', 'Shinigami', 'Sword Fighter']"
38,Lucy,Pink Hair,Female,"['Blinding Bangs', 'Frequently-Naked', 'Horns', 'Ruthless', 'Split Personality', 'Teenager']"
39,Haruhi FUJIOKA,Brown Hair,Female,"['Analytical', 'Crossdresser', 'High School Student', 'Host', 'Teenager']"
40,Tamaki SUOH,Blonde Hair,Male,"['Club President', 'Flirt', 'Foreigner', 'High School Student', 'Host', 'Musician', 'Pianist', 'Teenager', 'Wealthy']"
41,Happy,Multicolored Hair,Male,"['Animal', 'Anthropomorphic', 'Big Eater', 'Cat', 'Magic User', 'Wings']"
42,Ken KANEKI,,Male,"['Bookworm', 'Exotic Eyes', 'Eye Patch', 'Monster', 'Orphan', 'Teenager']"
43,Kaoru HITACHIIN,Orange Hair,Male,"['High School Student', 'Host', 'Mischievous', 'Teenager', 'Twin', 'Wealthy']"
44,Izuku MIDORIYA,Green Hair,Male,"['Analytical', 'Crybaby', 'Freckles', 'High School Student', 'Superpowers', 'Teenager']"
45,Armin ARLELT,Blonde Hair,Male,"['Analytical', 'Military', 'Orphan', 'Sword Fighter']"
46,Yato,Purple Hair,Male,"['Bandana', 'Deity', 'Exorcist', 'Immortal', 'Mercenary', 'Sword Fighter']"
47,Lucy HEARTFILIA,Blonde Hair,Female,"['Magic User', 'Summoners', 'Writer']"
48,Ciel PHANTOMHIVE,Black Hair,Male,"['Company President', 'Exotic Eyes', 'Eye Patch', 'Nobility', 'Orphan', 'Piercings', 'Teenager', 'Vengeful', 'Wealthy']"
49,Soul EVANS,White Hair,Male,"['Headband', 'Musician', 'Pianist', 'Shapeshifter', 'Sharp Teeth', 'Teenager']"
50,Saitama,,Male,"['Adult', 'Bald', 'Cape', 'Gloves', 'Superpowers']"
51,Alucard,Black Hair,Male,"['Bloodthirsty', 'Darkness Powers', 'Elemental Powers', 'Gloves', 'Gunslinger', 'Hat', 'Immortal', 'Prehensile Hair', 'Sadistic', 'Sunglasses', 'Teleportation Powers', 'Vampire', 'Vampire Hunter']"
52,Winry ROCKBELL,Blonde Hair,Female,"['Hot-Headed', 'Mechanic', 'Orphan', 'Piercings', 'Ponytail', 'Teenager']"
53,Riza HAWKEYE,Blonde Hair,Female,"['Adult', 'Gunslinger', 'Hair Buns', 'Military', 'Sniper']"
54,Kenpachi ZARAKI,Black Hair,Male,"['Agent of the Afterlife', 'Anti-Gravity Hair', 'Bloodthirsty', 'Eye Patch', 'Muscular', 'No Eyebrows', 'No Sense of Direction', 'Scar', 'Shinigami', 'Sword Fighter']"
55,Hange ZOE,Brown Hair,,"['Adult', 'Glasses', 'Goggles', 'Hyperactive', 'Military', 'Ponytail', 'Scientist', 'Sword Fighter']"
56,Ash's Pikachu,Multicolored Hair,Male,"['Bossy', 'Elemental Powers', 'Lightning Powers', 'Mischievous', 'Pokemon', 'Rosy Cheeks', 'Tail']"
57,Nezuko KAMADO,Multicolored Hair,Female,"['Demon', 'Hair Ribbons', 'Orphan', 'Teenager']"
58,Katsuki BAKUGO,Blonde Hair,Male,"['Big Ego', 'Bloodthirsty', 'Bully', 'High School Student', 'Hot-Headed', 'Selfish', 'Superpowers', 'Teenager']"
59,Rock Lee,Black Hair,Male,"['Bandages', 'Epic Eyebrows', 'Eternal Optimist', 'Honorable Fighter', 'Ninja']"
60,Misaki AYUZAWA,Black Hair,Female,"['High School Student', 'Maid', 'Part Time Employee', 'Poor', 'Student Council', 'Teenager', 'Tsundere', 'Waiter']"
61,Sasha BRAUS,Brown Hair,Female,"['Airhead', 'Big Eater', 'Military', 'Ponytail', 'Sword Fighter']"
62,Goku SON,Black Hair,Male,"['Anti-Gravity Hair', 'Big Eater', 'Eternal Optimist', 'Honorable Fighter', 'Martial Artist', 'Muscular', 'Teleportation Powers']"
63,Tanjirou KAMADO,Red Hair,Male,"['Demon Hunter', 'Orphan', 'Piercings', 'Scar', 'Sword Fighter', 'Teenager']"
64,Shizuo HEIWAJIMA,Blonde Hair,Male,"['Adult', 'Bodyguard', 'Bow Tie', 'Hot-Headed', 'Smoker', 'Sunglasses']"
65,Yuno GASAI,Pink Hair,Female,"['Analytical', 'Broken Record', 'Hair Ribbons', 'Middle School Student', 'Pigtails', 'Ruthless', 'Stalker', 'Superpowers', 'Teenager']"
66,Minato NAMIKAZE,Blonde Hair,Male,"['Adult', 'Beastmaster', 'Headband', 'Ninja', 'Teleportation Powers']"
67,Kyo SOHMA,Orange Hair,Male,"['Cursebearer', 'High School Student', 'Hot-Headed', 'Martial Artist', 'Teenager', 'Transfer Student', 'Tsundere']"
68,Izaya ORIHARA,Black Hair,Male,"['Adult', 'Analytical', 'Information Broker', 'Knife Fighter', 'Manipulative', 'Mischievous', 'Sadistic']"
69,Alex Louis ARMSTRONG,Blonde Hair,Male,"['Adult', 'Alchemist', 'Artist', 'Cleft Chin', 'Facial Hair', 'Hair Antenna', 'Magnificent Mustache', 'Military', 'Muscular', 'No Eyebrows']"
70,Toshiro HITSUGAYA,White Hair,Male,"['Agent of the Afterlife', 'Elemental Powers', 'Ice Powers', 'Shinigami', 'Sword Fighter']"
71,Sanji,Blonde Hair,Male,"['Blinding Bangs', 'Cook', 'Epic Eyebrows', 'Facial Hair', 'Flirt', 'Pervert', 'Pirate', 'Sailor', 'Smoker']"
72,Gon FREECSS,Black Hair,Male,"['Anti-Gravity Hair', 'Charismatic', 'Child', 'Eternal Optimist', 'Unconventional Weapon']"
73,Rukia KUCHIKI,Black Hair,Female,"['Agent of the Afterlife', 'Elemental Powers', 'Ice Powers', 'Nobility', 'Shinigami', 'Sword Fighter']"
74,Franken STEIN,Grey Hair,Male,"['Adult', 'Doctor', 'Eye Bags', 'Glasses', 'Sadistic', 'Scar', 'Scientist', 'Smoker', 'Teacher']"
75,Yoruichi SHIHOUIN,Purple Hair,Female,"['Agent of the Afterlife', 'Dark-skinned', 'Martial Artist', 'Nobility', 'Ponytail', 'Shapeshifter', 'Shinigami']"
76,Neji HYUGA,Black Hair,Male,"['Exotic Eyes', 'Headband', 'Ninja', 'Teenager']"
77,Hisoka MOROW,,Male,"['Big Ego', 'Bloodthirsty', 'Pervert', 'Ruthless', 'Sadistic']"
78,Misa AMANE,Blonde Hair,Female,"['Hyperactive', 'Idol', 'Pigtails']"
79,Shoyo HINATA,Orange Hair,Male,"['Airhead', 'Athlete', 'High School Student', 'Hot-Headed', 'Teenager', 'Volleyball Player']"
80,Howl,Multicolored Hair,Male,"['Adult', 'Flamboyant', 'Magic User', 'Pacifist', 'Piercings', 'Secret Identity', 'Shapeshifter', 'Traveler']"
81,Spike SPIEGEL,Black Hair,Male,"['Adult', 'Bounty Hunter', 'Gunslinger', 'Heterochromia', 'Martial Artist', 'Pilot', 'Smoker']"
82,Kyoya OOTORI,Black Hair,Male,"['Glasses', 'High School Student', 'Host', 'Teenager', 'Wealthy']"
83,Shiro,Multicolored Hair,Female,"['Analytical', 'Child', 'Child Prodigy', 'NEET', 'Person in a Strange World', 'Rapunzel Hair', 'Rosy Cheeks', 'Royalty', 'Video Gamer']"
84,Haruhi SUZUMIYA,Brown Hair,Female,"['Bisexual', 'Bossy', 'Club President', 'Hair Ribbons', 'Headband', 'High School Student', 'Mischievous', 'Selfish', 'Teenager']"
85,Celty STURLUSON,,Female,"['Amnesia', 'Biker', 'Darkness Powers', 'Elemental Powers', 'Helmet', 'Immortal', 'Mercenary', 'Mute', 'Scythe Wielder', 'Undead']"
86,Maka ALBARN,Blonde Hair,Female,"['Bookworm', 'High School Student', 'Pigtails', 'Scythe Wielder', 'Teenager', 'Warrior']"
87,Undertaker,Grey Hair,Male,"['Agent of the Afterlife', 'Blinding Bangs', 'Hat', 'Information Broker', 'Mischievous', 'Scar', 'Shinigami']"
88,Hei,Black Hair,Male,"['Adult', 'Assassin', 'Big Eater', 'Knife Fighter', 'Martial Artist', 'Masks', 'Razor Floss', 'Secret Identity', 'Superpowers']"
89,Ryuuji TAKASU,Blue Hair,Male,"['Cook', 'High School Student', 'Teenager']"
90,Touka KIRISHIMA,Blue Hair,Female,"['Blinding Bangs', 'Exotic Eyes', 'Monster', 'Part Time Employee', 'Waiter']"
91,Saber,Blonde Hair,Female,"['Armor', 'Braids', 'Gloves', 'Hair Antenna', 'Hair Buns', 'Hair Ribbons', 'Honorable Fighter', 'Immortal', 'Knight', 'Magical Familiar', 'Royalty', 'Sword Fighter']"
92,Kurisu MAKISE,Red Hair,Female,"['Scientist', 'Teenager', 'Tsundere']"
93,Konata IZUMI,Blue Hair,Female,"['Cosplayer', 'Hair Antenna', 'High School Student', 'Lazy', 'Mischievous', 'Mole', 'Otaku', 'Part Time Employee', 'Rapunzel Hair', 'Teenager', 'Video Gamer', 'Waiter']"
94,Satoru GOJO,White Hair,Male,"['Adult', 'Blindfold', 'Exorcist', 'Teacher']"
95,Mitsukuni HANINOZUKA,Blonde Hair,Male,"['Big Eater', 'Hair Antenna', 'High School Student', 'Host', 'Martial Artist', 'Sweet Tooth', 'Teenager', 'Wealthy']"
96,Byakuya KUCHIKI,Black Hair,Male,"['Agent of the Afterlife', 'Big Ego', 'Gloves', 'Nobility', 'Shinigami', 'Stoic', 'Sword Fighter']"
97,Saeko BUSUJIMA,Purple Hair,Female,"['Club President', 'High School Student', 'Martial Artist', 'Teenager']"
98,Ulquiorra SCHIFFER,Black Hair,Male,"['Face Markings', 'Horns', 'Ruthless', 'Stoic', 'Sword Fighter']"
99,Sora,Red Hair,Male,"['Analytical', 'NEET', 'Person in a Strange World', 'Royalty', 'Teenager', 'Video Gamer']"
100,Yuri NAKAMURA,Purple Hair,Female,"['Charismatic', 'Hair Ribbons', 'Headband']"
101,Sakura HARUNO,Pink Hair,Female,"['Headband', 'Ninja', 'Verbal Tic']"
102,Tsunade,Blonde Hair,Female,"['Adult', 'Beastmaster', 'Doctor', 'Face Markings', 'Gambler', 'Healing Powers', 'Heavy Drinker', 'Ninja', 'Pigtails']"
103,Karma AKABANE,Red Hair,Male,"['Analytical', 'Assassin', 'Bloodthirsty', 'Delinquent', 'Middle School Student', 'Mischievous', 'Teenager']"
104,Tobio KAGEYAMA,Black Hair,Male,"['Analytical', 'Athlete', 'High School Student', 'Hot-Headed', 'Teenager', 'Volleyball Player']"
105,Inosuke HASHIBIRA,Multicolored Hair,Male,"['Airhead', 'Big Eater', 'Demon Hunter', 'Dual Wielder', 'Hot-Headed', 'Masks', 'Muscular', 'Orphan', 'Sword Fighter', 'Teenager']"
106,Kamina,Blue Hair,Male,"['Adult', 'Bandages', 'Charismatic', 'Hot-Headed', 'Mecha Pilot', 'Sunglasses', 'Tattoo']"
107,Koro-sensei,,Male,"['Hat', 'Monster', 'Octopus', 'Pervert', 'Superpowers', 'Teacher']"
108,Mirajane STRAUSS,White Hair,Female,"['Adult', 'Bartender', 'Magic User', 'Model', 'Shapeshifter', 'Waiter']"
109,Rintaro OKABE,Black Hair,Male,"['Analytical', 'Chuunibyou', 'Inventor', 'Scientist', 'Teenager']"
110,Vegeta,Black Hair,Male,"['Adult', 'Alien', 'Anti-Gravity Hair', 'Armor', 'Big Ego', 'Bloodthirsty', 'Hot-Headed', 'Muscular', 'Racial Purist', 'Royalty', 'Warrior']"
111,Nami,Orange Hair,Female,"['Bossy', 'Manipulative', 'Orphan', 'Pirate', 'Sailor', 'Tattoo', 'Thief', 'Treasure Hunter']"
112,Near,White Hair,Male,"['Analytical', 'Detective', 'Teenager']"
113,Kallen STADTFELD,Pink Hair,Female,"['Headband', 'High School Student', 'Mecha Pilot', 'Student Council', 'Teenager', 'Terrorist']"
114,Ace D. PORTGAS,Black Hair,Male,"['Adult', 'Big Eater', 'Elemental Powers', 'Fire Powers', 'Freckles', 'Hat', 'Muscular', 'Pirate', 'Sailor', 'Sleepyhead', 'Superpowers', 'Tattoo']"
115,Robin NICO,Black Hair,Female,"['Adult', 'Archaeologist', 'Pirate', 'Sailor', 'Superpowers']"
